========================================================================
Single Profile Analysis: data/baseline/perf_1.data
  event: cpu-cycles:u  totalSamples: 31977
========================================================================

Top hotspots (self time):
  function                                         self(ms)      pct
  libinput.so                                        7.39 ms    0.02%
  libartbase.so                                      7.38 ms    0.02%
  libartpalette-system.so                            5.89 ms    0.01%
  libandroid.so                                      5.72 ms    0.01%
  libhwrme_client.so                                 4.97 ms    0.01%
  hwPartBasicplatform.jar                            3.81 ms    0.01%
  libhidlbase.so                                     3.38 ms    0.01%
  android.hardware.graphics.mapper@4.0-impl-qt       3.31 ms    0.01%
  libartpalette.so                                   2.43 ms    0.01%
  libwebviewchromium.huawei.so                       2.41 ms    0.01%
  boot-hwEmui.oat                                    2.38 ms    0.01%
  boot-core-libart.oat                               2.35 ms    0.01%
  libCrashSight.so                                   1.82 ms    0.01%
  libjavacore.so                                     1.68 ms    0.00%
  libicui18n.so                                      1.66 ms    0.00%
  libsync.so                                         1.40 ms    0.00%
  libnetd_client.so                                  0.95 ms    0.00%
  libart-compiler.so                                 0.84 ms    0.00%
  libbase.so                                         0.64 ms    0.00%
  libandroidio.so                                    0.00 ms    0.00%

